dataset,query_id,draw_id,method,ndcg_at_10,recall_at_20
scifact,1099,1,original,0.31546487678572877,1.0
scifact,1099,1,expansion_only,0.43067655807339306,1.0
scifact,1099,1,query_expansion_reencode,0.43067655807339306,1.0
scifact,1099,1,anchorqe_fixed_015,0.3333333333333333,1.0
scifact,1099,1,desa_de,0.38685280723454163,1.0
scifact,1099,2,original,0.31546487678572877,1.0
scifact,1099,2,expansion_only,0.31546487678572877,1.0
scifact,1099,2,query_expansion_reencode,0.43067655807339306,1.0
scifact,1099,2,anchorqe_fixed_015,0.31546487678572877,1.0
scifact,1099,2,desa_de,0.38685280723454163,1.0
scifact,1100,0,original,0.0,1.0
scifact,1100,0,expansion_only,0.3562071871080222,1.0
scifact,1100,0,query_expansion_reencode,0.38685280723454163,1.0
scifact,1100,0,anchorqe_fixed_015,0.0,1.0
scifact,1100,0,desa_de,0.3333333333333333,1.0
scifact,1100,1,original,0.0,1.0
scifact,1100,1,expansion_only,0.3333333333333333,1.0
scifact,1100,1,query_expansion_reencode,0.3333333333333333,1.0
scifact,1100,1,anchorqe_fixed_015,0.0,1.0
scifact,1100,1,desa_de,0.31546487678572877,1.0
scifact,1100,2,original,0.0,1.0
scifact,1100,2,expansion_only,0.3010299956639812,1.0
scifact,1100,2,query_expansion_reencode,0.3333333333333333,1.0
scifact,1100,2,anchorqe_fixed_015,0.0,1.0
scifact,1100,2,desa_de,0.3010299956639812,1.0
scifact,1104,0,original,1.0,1.0
scifact,1104,0,expansion_only,1.0,1.0
scifact,1104,0,query_expansion_reencode,1.0,1.0
scifact,1104,0,anchorqe_fixed_015,1.0,1.0
scifact,1104,0,desa_de,1.0,1.0
scifact,1104,1,original,1.0,1.0
scifact,1104,1,expansion_only,1.0,1.0
scifact,1104,1,query_expansion_reencode,1.0,1.0
scifact,1104,1,anchorqe_fixed_015,1.0,1.0
scifact,1104,1,desa_de,1.0,1.0
scifact,1104,2,original,1.0,1.0
scifact,1104,2,expansion_only,1.0,1.0
scifact,1104,2,query_expansion_reencode,1.0,1.0
scifact,1104,2,anchorqe_fixed_015,1.0,1.0
scifact,1104,2,desa_de,1.0,1.0
scifact,1107,0,original,1.0,1.0
scifact,1107,0,expansion_only,0.5,1.0
scifact,1107,0,query_expansion_reencode,0.5,1.0
scifact,1107,0,anchorqe_fixed_015,1.0,1.0
scifact,1107,0,desa_de,0.6309297535714575,1.0
scifact,1107,1,original,1.0,1.0
scifact,1107,1,expansion_only,0.5,1.0
scifact,1107,1,query_expansion_reencode,0.5,1.0
scifact,1107,1,anchorqe_fixed_015,1.0,1.0
scifact,1107,1,desa_de,0.5,1.0
scifact,1107,2,original,1.0,1.0
scifact,1107,2,expansion_only,0.5,1.0
scifact,1107,2,query_expansion_reencode,0.5,1.0
scifact,1107,2,anchorqe_fixed_015,1.0,1.0
scifact,1107,2,desa_de,0.6309297535714575,1.0
scifact,1110,0,original,0.0,0.0
scifact,1110,0,expansion_only,0.0,0.0
scifact,1110,0,query_expansion_reencode,0.0,0.0
scifact,1110,0,anchorqe_fixed_015,0.0,0.0
scifact,1110,0,desa_de,0.0,0.0
scifact,1110,1,original,0.0,0.0
scifact,1110,1,expansion_only,0.0,0.0
scifact,1110,1,query_expansion_reencode,0.0,0.0
scifact,1110,1,anchorqe_fixed_015,0.0,0.0
scifact,1110,1,desa_de,0.0,0.0
scifact,1110,2,original,0.0,0.0
scifact,1110,2,expansion_only,0.0,0.0
scifact,1110,2,query_expansion_reencode,0.0,0.0
scifact,1110,2,anchorqe_fixed_015,0.0,0.0
